Provinsi,TN,TX,TAVG,RH_AVG,RR,SS,FF_X,DDD_X,FF_AVG,DDD_CAR
SUMATERASELATAN,25.506336088154267,60.76483516483516,29.276923076923076,79.08767123287672,1023.6843843843844,1309.0578947368422,2.628415300546448,159.99180327868854,0.8879781420765027,
JawaTimur,20.752486187845307,29.89010989010989,25.394490358126724,77.79889807162535,444.28840579710146,5.559002770083103,4.104395604395604,156.41483516483515,1.7417582417582418,
KalimantanTengah,23.919390581717455,32.651780821917804,27.252472527472527,85.37808219178082,549.8941666666667,4.95928338762215,4.609289617486339,186.5972602739726,1.4125683060109289,
KalimantanUtara,24.800821917808218,32.859178082191775,27.96986301369863,84.35890410958905,621.1184374999999,4.496319018404908,5.609289617486339,124.38524590163935,1.1065573770491803,
MalukuUtara,23.282739726027398,32.5372602739726,27.554794520547944,89.35890410958905,1151.1994520547944,4.5690410958904115,3.387978142076503,188.95068493150686,0.7622950819672131,
Papua,23.923013698630136,31.987397260273973,27.75564738292011,85.51790633608816,823.63417721519,4.6197260273972605,2.7049180327868854,152.21038251366122,0.6530054644808743,
KalimantanSelatan,24.064560439560438,32.5641095890411,29.116931216931217,78.91534391534391,1051.175366568915,4.845479452054795,3.4672131147540983,182.07650273224044,1.9726775956284153,
SulawesiSelatan,24.858082191780824,31.876775956284153,28.409041095890412,81.59726027397261,861.7591780821919,5.726027397260274,4.2103825136612025,237.75956284153006,1.8469945355191257,
SulawesiTengah,24.08,32.34838709677419,27.803225806451614,83.19354838709677,2299.670967741936,4.087096774193548,4.354838709677419,58.38709677419355,0.8387096774193549,
DIYogyakarta,23.216298342541435,31.673480662983422,27.41830601092896,78.44262295081967,330.5987878787879,5.750688705234158,4.547683923705722,219.25885558583107,2.0326975476839237,
KalimantanTimur,24.134903047091413,32.801095890410956,27.385205479452054,86.6109589041096,1637.8194842406876,3.7372602739726024,3.453551912568306,170.24657534246575,0.6612021857923497,
PapuaBarat,23.53835616438356,31.877049180327862,27.716986301369865,84.47671232876712,453.8628762541806,4.31972602739726,28.48087431693989,167.04644808743168,27.494535519125684,9999.0
SulawesiUtara,23.71955922865014,31.867127071823205,27.845753424657538,80.33150684931506,1019.965671641791,4.996143250688705,2.8852459016393444,162.6164383561644,1.133879781420765,
JawaBarat,23.08846153846154,32.559340659340656,26.76219178082192,82.6082191780822,362.51927710843376,5.419178082191781,7.775956284153006,208.7704918032787,1.8961748633879782,
Gorontalo,23.543909348441925,,29.353968253968258,75.5026455026455,1160.407492795389,4.520165745856353,2.1311475409836067,166.9207650273224,0.3633879781420765,
Aceh,23.522589531680442,33.20846994535519,28.50630136986301,76.54520547945205,1246.7164383561646,5.607945205479452,4.229508196721311,203.98907103825135,2.240437158469945,
Maluku,140.4791788856305,,28.139178082191783,84.61369863013698,661.4486803519062,4.504775280898876,30.904371584699454,190.12021857923497,28.617486338797814,9999.0
SulawesiBarat,25.398626373626374,32.2386301369863,28.404383561643836,79.59726027397261,1112.2510989010989,6.249863013698629,4.0683060109289615,162.07650273224044,2.0655737704918034,
SUMATERAUTARA,222.83116147308783,32.82991689750692,28.95659340659341,80.12912087912088,1185.5717770034844,32.482369146005496,4.315068493150685,129.25479452054793,1.8027397260273972,
KalimantanBarat,24.892777777777777,31.88093922651934,28.479999999999997,83.12602739726027,655.2325581395348,4.978236914600552,3.8169398907103824,214.23497267759564,1.726775956284153,
DKIJakarta,26.720833333333335,32.762534435261706,29.347513812154695,78.61917808219178,673.8349710982659,5.669613259668507,5.166666666666667,152.98907103825135,2.0901639344262297,
Banten,107.3358904109589,33.31612021857923,29.178356164383562,78.00821917808219,781.9337792642141,4.815890410958904,4.087431693989071,154.01639344262296,1.7404371584699454,
Riau,23.67520435967302,32.511444141689374,28.165667574931877,81.32970027247957,235.09915014164307,4.672303206997085,2.4972826086956523,169.46049046321525,0.5407608695652174,
Lampung,24.0989010989011,32.87424657534247,28.346575342465755,79.16712328767123,899.3022988505747,4.943835616438356,2.3961748633879782,164.95628415300547,1.0737704918032787,
SulawesiTenggara,23.65068493150685,32.56333333333333,28.05315068493151,82.17808219178082,1077.3624657534247,4.437808219178082,2.4153005464480874,179.5191256830601,0.8114754098360656,
NusaTenggaraTimur,24.546575342465754,33.1534435261708,29.155616438356162,74.93698630136986,526.2125401929261,7.363835616438356,5.005464480874317,208.08743169398906,2.540983606557377,
Bengkulu,24.81483516483516,32.193715846994536,28.595890410958905,82.42739726027398,889.8201201201202,6.111232876712327,4.48087431693989,216.47540983606558,2.5901639344262297,
KepBangkaBelitung,24.557142857142853,32.09342465753425,28.25452054794521,85.18630136986302,624.1665615141956,4.5350684931506855,3.469945355191257,147.37704918032787,1.5,
Jambi,24.36401098901099,32.59917582417582,27.810136986301373,86.02739726027397,1457.282175226586,4.381643835616439,2.5027322404371586,186.0655737704918,0.674863387978142,
JawaTengah,24.97780821917808,33.472950819672135,29.242465753424657,74.61369863013698,474.6546703296703,6.479395604395604,5.167123287671233,229.22677595628414,2.010928961748634,
NusaTenggaraBarat,24.102747252747257,32.4775956284153,29.369841269841267,76.74603174603175,591.5989010989011,6.551232876712329,4.330601092896175,212.8415300546448,2.1174863387978142,
SUMATERABARAT,22.92346368715084,31.924653739612186,26.95911602209945,84.66850828729282,681.7631736526946,4.507458563535911,2.787878787878788,204.71074380165288,1.0633608815426998,
Bali,24.255371900826447,31.41775956284153,28.85925925925926,79.98941798941799,713.6406593406593,6.388461538461539,5.073770491803279,154.8087431693989,1.9426229508196722,
KepRiau,25.683333333333334,31.85623268698061,28.401923076923076,83.18630136986302,1486.4888252148996,4.240331491712707,4.090163934426229,133.46575342465752,1.46448087431694,
